id,name,description,is_paid
33,"Образование и наука","Мероприятия для расширения знаний и навыков.",0
34,"Лекции и семинары","Образовательные мероприятия для расширения знаний.",0
35,"Научные лекции","Выступления ученых о последних исследованиях.",0
36,"Культурно-исторические лекции","Познание истории и культуры.",0
37,"Бизнес-семинары","Обучение навыкам ведения бизнеса и предпринимательства.",1
38,"Мотивационные тренинги","Развитие личной эффективности и достижение целей.",1
39,"Мастер-классы","Практические занятия для приобретения новых навыков.",1
40,"Творческие мастер-классы","Рисование, лепка, музыка и другие виды творчества.",1
41,"Кулинарные мастер-классы","Обучение приготовлению различных блюд.",1
42,"Танцевальные уроки","Освоение различных стилей танцев.",1
43,"Мастер-классы по программированию","Основы кодирования и разработки приложений.",1
44,"Фотография и видеосъемка","Обучение основам съемки и монтажа.",1
45,"Спорт и активный отдых","Мероприятия для поддержания здоровья и активности.",0
46,"Спортивные мероприятия","Соревнования и занятия для поддержания формы.",0
47,"Марафоны и забеги","Массовые спортивные события для бегунов.",1
48,"Фитнес-тренировки на свежем воздухе","Совместные спортивные занятия на улице.",0
49,"Велопробеги","Организованные поездки на велосипедах по городу и за его пределами.",0
50,"Йога и медитация","Занятия для тела и разума.",0
51,"Экстремальные виды спорта","Скалолазание, парашютные прыжки и другие экстремальные активности.",1
52,"Активный отдых","Деятельность для любителей приключений и природы.",0
53,"Походы и трекинг","Прогулки и походы по природным тропам.",0
54,"Каякинг и рафтинг","Водные приключения на каяках и рафтах.",1
55,"Зимние виды спорта","Катание на лыжах, сноуборде и другие зимние активности.",1
56,"Конные прогулки","Отдых на свежем воздухе с лошадьми.",1
57,"Технологии и инновации","Мероприятия в сфере технологий и инноваций.",0
58,"Конференции и форумы","События для обмена опытом в сфере технологий.",0
59,"IT-конференции","Новейшие достижения в области IT.",0
60,"Стартап-форумы","Встречи предпринимателей и инвесторов.",1
61,"Хакатоны","Совместная разработка проектов за ограниченное время.",1
62,"Мастер-классы по технологиям","Практические занятия по освоению технологий.",1
63,"Программирование","Изучение языков программирования.",1
64,"Робототехника","Создание и программирование роботов.",1
65,"3D-печать","Основы моделирования и печати объектов.",1
66,"Виртуальная реальность","Создание VR-приложений и контента.",1
67,"Кулинария и гастрономия","Мероприятия для любителей еды и напитков.",0
68,"Гастрономические фестивали","События с дегустацией различных блюд и напитков.",1
69,"Фестивали национальных кухонь","Знакомство с кулинарными традициями разных стран.",1
70,"Фудмаркеты","Дегустация блюд от разных поставщиков на одной площадке.",1
71,"Винные фестивали","Дегустации вин и обучение сомелье.",1
72,"Кулинарные курсы","Обучение кулинарному мастерству.",1
73,"Мастер-классы по выпечке","Изготовление хлеба, пирогов и десертов.",1
74,"Кулинария для детей","Занятия для маленьких поваров.",1
75,"Здоровое питание","Приготовление полезных и сбалансированных блюд.",1
76,"Экология и устойчивое развитие","Мероприятия, направленные на улучшение окружающей среды.",0
77,"Эко-мероприятия","События для защиты и сохранения природы.",0
78,"Субботники и уборки","Совместная очистка территорий от мусора.",0
79,"Посадка деревьев","Озеленение городских и пригородных зон.",0
80,"Велопарады","Продвижение экологичного транспорта.",0
81,"Экологические фестивали","Просвещение о важности экологии и устойчивого развития.",0
82,"Социальные проекты и волонтерство","Мероприятия для помощи обществу.",0
83,"Благотворительные акции","События для поддержки нуждающихся.",1
84,"Сбор вещей","Помощь малообеспеченным семьям и людям в сложной ситуации.",1
85,"Волонтерские программы","Участие в социальных проектах на добровольной основе.",0
86,"Мероприятия для детей","Развлекательные и образовательные события для детей.",0
87,"Детские спектакли","Театральные постановки для детей.",1
88,"Кукольные театры","Представления с использованием кукол и марионеток.",1
89,"Аниматоры и шоу","Развлекательные программы для детей с участием аниматоров.",1
90,"Образовательно-развивающие мероприятия","События для обучения и развития детей.",0
91,"Творческие занятия","Уроки рисования, лепки и других видов искусства для детей.",1
92,"Спортивные мероприятия для детей","Соревнования и активные игры для детей.",0
93,"Мастер-классы для детей","Практические занятия для приобретения новых навыков.",1
94,"Книжные ярмарки для детей","Выставки и продажи детской литературы.",1
95,"Развлечения и хобби","Мероприятия для проведения досуга и увлечений.",0
96,"Игровые мероприятия","События для любителей игр и развлечений.",0
97,"Настольные игры","Турниры и игровые вечера с настольными играми.",1
98,"Киберспорт","Соревнования по видеоиграм.",1
99,"Квесты в реальности","Прохождение тематических заданий в реальном пространстве.",1
100,"Поездки и экскурсии","Организованные путешествия и экскурсионные программы.",1
101,"Экскурсионные программы","Исследование исторических и культурных достопримечательностей.",1
102,"Исторические прогулки по городу","Обзорные экскурсии по значимым местам города.",1
103,"Туры по природным заповедникам","Посещение уникальных природных мест.",1
104,"Походы и экскурсии по историческим местам","Исследование исторических областей и памятников.",1
105,"Туристические выезды","Организация поездок на природу и отдых.",1
106,"Организация поездок на природу","Выезды для отдыха на свежем воздухе.",1
107,"Поездки на берега рек и озёр","Отдых у воды с возможностью купания и рыбалки.",1
108,"Тематические события","Специальные мероприятия с определённой тематикой.",1
109,"Ярмарки и выставки","События для демонстрации и продажи товаров.",1
110,"Ярмарки товаров народных промыслов","Выставки изделий ручной работы.",1
111,"Выставки антиквариата","Экспозиции старинных вещей и предметов искусства.",1
112,"Квесты и тематические вечеринки","Развлекательные мероприятия с уникальной тематикой.",1
113,"Квесты на свежем воздухе","Активности с загадками и задачами под открытым небом.",1
114,"Костюмированные балы и вечеринки","Мероприятия с переодеванием в особые наряды.",1
115,"Игровые вечера","Собрания для совместных игр и развлечений.",1
116,"Эко-акции и субботники","Мероприятия по очистке территорий и другие экологические инициативы.",0
117,"Уборка территории","Совместная очистка парков, пляжей и других общественных мест.",0
118,"Высадка деревьев","Акции по посадке деревьев и озеленению.",0
119,"Волонтёрство","Деятельность по оказанию безвозмездной помощи.",0
120,"Помощь бездомным","Мероприятия по поддержке людей без определённого места жительства.",0
121,"Забота о животных","Волонтёрская помощь приютам и организациям по защите животных.",0
122,"Мастер-классы по рукоделию","Обучение различным видам рукоделия и прикладного искусства.",1
123,"Вязание","Обучение техникам вязания спицами и крючком.",1
124,"Шитьё","Изготовление одежды и аксессуаров своими руками.",1
125,"Стартап-выставки","Мероприятия для представления новых проектов и идей.",1
126,"Культурные и народные праздники","Традиционные мероприятия, отражающие культуру и обычаи.",0
127,"Сезонные и тематические мероприятия","Мероприятия, посвящённые определённым сезонам или темам.",0
