id,name,description,is_paid
120,Интеллектуальные игры,"Игры на интеллект", 0
121,Квизы,"Викторины и вопросы", 0
122,Логические игры,"Игры на логику и мышление", 0
123,Тематические события,"Мероприятия по теме", 0
124,Ярмарки и выставки,"Различные выставки и ярмарки", 0
125,Народные промыслы,"Выставки народного творчества", 0
126,Антиквариат,"Выставки антиквариата", 0
127,Стартапы,"Выставки стартапов", 0
128,Вечеринки и квесты,"Развлекательные мероприятия", 0
129,Квесты в реальности,"Квесты в помещении", 0
130,Квесты на открытом воздухе,"Квесты на улице", 0
131,Исторические экскурсии,"Экскурсии с историческим уклоном", 0
132,Социальные и волонтёрские мероприятия,"Мероприятия с социальной значимостью", 0
133,Волонтёрство,"Добровольная помощь", 0
134,Экологические акции,"Улучшение окружающей среды", 0
135,Помощь людям,"Помощь нуждающимся", 0
136,Забота о животных,"Помощь животным", 0
137,Благотворительность,"Мероприятия по сбору средств", 0
138,Ужины и встречи,"Мероприятия с целью сбора средств", 0
139,Сбор средств,"Различные акции по сбору средств", 0
140,Эко-мероприятия,"Экологические акции", 0
141,Эко-выставки,"Выставки экологических проектов", 0
142,Мастер-классы по экологии,"Обучение экологии", 0
143,Эко-фестивали,"Эко-фестивали", 0
144,Поездки и экскурсии,"Мероприятия с поездками и экскурсиями", 0
145,Экскурсии,"Познавательные экскурсии", 0
146,История города,"Экскурсии по городу", 0
147,Музеи и галереи,"Посещение музеев", 0
148,Предприятия,"Экскурсии на предприятия", 0
149,Поездки,"Путешествия", 0
150,Природа,"Поездки на природу", 0
151,Заповедники,"Посещение заповедников", 0
152,Кемпинг,"Кемпинг и отдых на природе", 0
153,Туры,"Организованные туры", 0
154,Культурные туры,"Туры, посвященные культуре", 0
155,Фототуры,"Туры для фотографов", 0
156,Отдых и релаксация,"Мероприятия для отдыха", 0
157,Здоровье,"Мероприятия для здоровья", 0
158,Йога-фестивали,"Фестивали йоги", 0
159,Фитнес-фестивали,"Фестивали фитнеса", 0
160,Массажные мероприятия,"События с массажем", 0
161,Медитация,"Практики медитации", 0
162,Курсы медитации,"Курсы медитации", 0
163,Ретриты,"Медитационные ретриты", 0
164,Практики осознанности,"Упражнения для осознанности", 0
165,Спа,"Спа-процедуры", 0
166,Спа-дни,"Дни в спа-центрах", 0
167,Оздоровительные программы,"Здоровье и красота", 0
168,Детокс-марафоны,"Программы по очищению организма", 0
169,Хобби и интересы,"Мероприятия по хобби", 0
170,Рукоделие,"Мастер-классы по рукоделию", 0
171,Вязание,"Обучение вязанию", 0
172,Шитье,"Обучение шитью", 0
173,Керамика,"Обучение керамике", 0
174,Гончарное дело,"Обучение гончарному делу", 0
175,Клубы по интересам,"Клубные встречи по интересам", 0
176,Коллекционеры,"Встречи коллекционеров", 0
177,Фотолюбители,"Фотоклубы и обучение фотографии", 0
178,Автолюбители,"Клубы автолюбителей", 0
179,Обучение хобби,"Обучающие мероприятия", 0
180,Садоводство,"Обучение садоводству", 0
181,Астрономия,"Обучение астрономии", 0
